Wind Speed [m/s],Power [kW],Cp [-]
1,0,0
2,0,0
3,0,0
4,246,0.332579719
4.5,386,0.366513852
5,562,0.389015523
5.5,776,0.403565732
6,1033,0.413796868
6.5,1337,0.421242291
7,1691,0.426569811
7.5,2100,0.430701252
8,2567,0.433806981
8.5,3096,0.436199139
9,3691,0.438083752
9.5,4356,0.439600001
10,5092,0.440584307
10.5,5620,0.420057794
11,5860,0.380943169
12,6000,0.300433351
13,6000,0.236298967
14,6000,0.18919418
15,6000,0.153821876
16,6000,0.12674532
17,6000,0.105668396
18,6000,0.089017289
19,6000,0.075688705
20,6000,0.064893604
21,6000,0.056057535
22,6000,0.048755525
23,6000,0.042668598
24,6000,0.037554169
25,6000,0.033225525
