Wind Speed [m/s],Power [kW],Cp [-]
3,0,0
4,864,0.405719888
5,1488,0.357754781
6,2728,0.379562365
7,4584,0.401645604
8,7057,0.414231084
9,10146,0.418273026
10,13852,0.416298659
11,18000,0.406431143
12,18000,0.313055469
13,18000,0.246226605
14,18000,0.197142803
15,18000,0.1602844
16,18000,0.132070276
17,18000,0.110107847
18,18000,0.092757176
19,18000,0.078868618
20,18000,0.067619981
21,18000,0.058412682
22,18000,0.050803893
23,18000,0.044461235
24,18000,0.039131934
25,18000,0.03462143
