Wind Speed [m/s],Power [kW],Cp [-],Thrust [kN],Ct [-]
3,40.5,0.196405748,171.7,2.497990147
4,177.7,0.363555224,215.9,1.766833378
5,403.9,0.423084169,268.9,1.408360153
6,737.6,0.447126173,330.3,1.201348494
7,1187.2,0.453202924,398.6,1.065133759
8,1771.1,0.452935183,478,0.977936955
9,2518.6,0.452370844,579.2,0.936281559
10,3448.41,0.451525031,691.496,0.905425262
10.1,3552.15,0.451429682,703.315,0.902755344
10.2,3657.95,0.451336218,715.25,0.90016155
10.3,3765.16,0.451164269,725.765,0.895745235
10.4,3873.95,0.450938098,734.875,0.889630636
10.5,3984.49,0.450679475,744.041,0.883651878
10.6,4096.56,0.450365029,753.249,0.877788261
10.7,4210.69,0.450054254,762.527,0.872068513
10.8,4326.15,0.449669304,771.832,0.866439424
10.9,4443.41,0.449262148,781.193,0.860930874
11,4562.51,0.44883706,790.615,0.855544522
11.1,4683.43,0.448392183,800.098,0.850276473
11.2,4806.18,0.44792871,809.666,0.845148048
11.3,4929.92,0.447370638,819.271,0.840105118
11.4,5000.37,0.441926986,805.112,0.811165614
11.5,5000.02,0.430468281,771.67,0.764009698
11.6,5000,0.419429499,748.743,0.728584172
11.7,4999.99,0.408765737,730.721,0.698944675
11.8,5000,0.398462007,715.414,0.672754103
11.9,5000,0.388500924,701.99,0.649082557
12,5000,0.378869113,689.957,0.627368152
13,5000,0.297990818,608.4,0.471373796
14,5000,0.23858813,557.9,0.372703289
15,5000,0.193980986,520.5,0.30290131
16,5000,0.159835407,491.2,0.251235686
17,5000,0.133255817,467.7,0.211900735
18,5000,0.112257515,448.4,0.181210571
19,5000,0.095449166,432.3,0.156798163
20,5000,0.081835728,418.8,0.137091212
21,5000,0.070692779,406.7,0.120753164
22,5000,0.061484394,395.3,0.106941036
23,5000,0.05380832,385.1,0.095319286
24,5000,0.047358639,376.7,0.085631997
25,5000,0.041899893,369.3,0.077368152
