Wind Speed [m/s],Power [kW],Cp [-],Thrust [kN],Ct [-]
3,37.874,0.074,155.126,0.915
4,440.49,0.364,279.818,0.926
5,1074.369,0.453,436.397,0.921
6,1973.429,0.481,612.446,0.895
7,3152.143,0.483,824.836,0.885
8,4723.686,0.485,1062.529,0.873
9,6734.924,0.487,1271.225,0.827
9.5,7863.971,0.484,1350.365,0.789
10,9057.796,0.478,1428.398,0.754
10.5,10309.687,0.47,1504.588,0.721
11,10638.3,0.421,1357.872,0.591
11.5,10638.3,0.368,1232.181,0.49
12,10638.3,0.324,1144.982,0.418
13,10638.3,0.255,1021.407,0.318
14,10638.3,0.204,932.997,0.251
15,10638.3,0.166,864.528,0.203
16,10638.3,0.137,809.229,0.167
18,10638.3,0.097,724.668,0.119
20,10638.3,0.071,662.998,0.088
25,10638.301,0.037,565.572,0.049
