Wind Speed [m/s],Power [kW],Cp [-]
1.5,-0.041,0
2.03,-0.041,0
2.54,-0.041,0
2.99,-0.02,0
3.5,0.145,0.06
4.02,0.558,0.14
4.51,1.048,0.19
5.01,1.637,0.22
5.5,2.312,0.23
6,3.146,0.24
6.5,4.042,0.25
7.01,5.096,0.25
7.5,6.23,0.25
7.99,7.505,0.25
8.5,9.1,0.25
9,10,0.23
9.49,10,0.2
9.99,10,0.17
10.5,10,0.14
11,10,0.13
11.49,10,0.11
12,10,0.1
12.5,10,0.09
12.99,10,0.08
13.51,10,0.07
13.99,10,0.06
14.49,10,0.05
15,10,0.05
15.48,10,0.05
15.98,10,0.04
16.49,10,0.04
17,10,0.03
