Wind Speed [m/s],Power [kW],Cp [-]
0.56,0,0
1,0,0
1.43,-0.002,0
2.07,-0.001,0
2.54,0.012,0.05
3.05,0.045,0.11
3.52,0.096,0.15
3.98,0.172,0.19
4.49,0.296,0.22
4.99,0.485,0.27
5.5,0.739,0.3
5.99,1.02,0.33
6.49,1.326,0.33
7,1.733,0.35
7.5,2.165,0.35
8,2.674,0.36
8.5,3.121,0.35
8.98,3.546,0.34
9.49,4.033,0.32
10.01,4.428,0.3
10.5,4.87,0.29
10.99,5.164,0.27
11.51,5.464,0.25
11.99,5.626,0.22
12.49,5.851,0.21
12.98,5.96,0.19
13.5,6,0.17
13.98,6.026,0.15
14.5,6.064,0.14
15,6.059,0.12
15.5,6.119,0.11
15.99,6.099,0.1
