Wind Speed [m/s],Power [kW],Cp [-]
1,-0.029,0
1.51,-0.028,0
2.01,-0.025,0
2.52,0,0
2.99,0.108,0.09
3.49,0.328,0.17
4.01,0.679,0.24
4.51,1.28,0.31
5,2.074,0.37
5.5,2.878,0.39
6,3.824,0.4
6.5,4.897,0.4
7,6.089,0.4
7.49,7.226,0.39
8,8.5,0.37
8.5,9.731,0.36
9,11.265,0.35
9.49,12.361,0.33
9.99,13.664,0.31
10.51,14.502,0.28
11.01,15.612,0.26
11.48,16.304,0.24
11.97,16.876,0.22
12.51,17.506,0.2
12.99,18.212,0.19
13.5,18.942,0.17
13.99,19.096,0.16
14.48,19.6,0.15
15,20.355,0.14
15.51,20.251,0.12
15.97,20.611,0.11
16.47,19.687,0.1
