Wind Speed [m/s],Power [kW],Cp [-]
0,0,0
0.25,0,0
0.5,0,0
0.75,0,0
1,0,0
1.25,0,0
1.5,0,0
1.75,0,0
2,0,0
2.25,0,0
2.5,0,0
2.75,0,0
3,0,0
3.25,138,0.380303113
3.5,173,0.383638434
3.75,223,0.401750302
4,286,0.423427541
4.25,358,0.443167661
4.5,440,0.4584878
4.75,529,0.468499293
5,623,0.473139146
5.25,722,0.473278465
5.5,827,0.471525906
5.75,941,0.469872167
6,1069,0.469466567
6.25,1211,0.470620945
6.5,1367,0.472363144
6.75,1535,0.473821617
7,1715,0.474457866
7.25,1903,0.473865227
7.5,2096,0.471487326
7.75,2290,0.46694385
8,2482,0.460053932
8.25,2666,0.450625284
8.5,2835,0.438070423
8.75,2979,0.421951358
9,3088,0.402061355
9.25,3159,0.378777208
9.5,3198,0.354013426
9.75,3219,0.329556345
10,3232,0.306710879
10.25,3247,0.286192307
10.5,3265,0.267676679
10.75,3282,0.250701027
11,3294,0.234895183
11.25,3301,0.220019262
11.5,3303,0.206087684
11.75,3302,0.193148924
12,3300,0.181228369
12.25,3299,0.170312204
12.5,3299,0.160297517
12.75,3299,0.151074714
13,3300,0.142549099
13.25,3300,0.134631567
13.5,3300,0.12728969
13.75,3300,0.120472089
14,3300,0.114132788
14.25,3300,0.108230569
14.5,3300,0.102728401
14.75,3300,0.097592956
15,3300,0.092794184
15.25,3300,0.088304941
15.5,3300,0.084100667
15.75,3300,0.080159105
16,3300,0.076460052
16.25,3300,0.072985139
16.5,3300,0.069717644
16.75,3300,0.066642319
17,3300,0.063745241
17.25,3300,0.061013682
17.5,3300,0.058435988
17.75,3300,0.056001475
18,3300,0.053700338
18.25,3300,0.051523568
18.5,3300,0.049462874
18.75,3300,0.047510622
19,3300,0.045659771
19.25,3300,0.043903822
19.5,3300,0.04223677
19.75,3300,0.040653059
20,3300,0.039147546
20.25,3300,0.037715464
20.5,3300,0.036352389
20.75,3300,0.035054214
21,3300,0.033817122
21.25,3300,0.032637564
21.5,3300,0.031512231
21.75,3300,0.030438045
22,3300,0.029412131
22.25,3300,0.028431809
22.5,3300,0.027494573
22.75,3300,0.026598083
23,3300,0.025740147
23.25,3300,0.024918716
23.5,3300,0.024131868
23.75,3300,0.023377803
24,3300,0.02265483
24.25,3300,0.021961364
24.5,3300,0.021295914
24.75,3300,0.02065708
25,3300,0.020043544
