Wind Speed [m/s],Power [kW],Cp [-],Ct [-]
3,0,0,0.979
4,28,0.135,1.111
5,144,0.356,1.014
6,309,0.442,0.925
7,511,0.461,0.843
8,758,0.458,0.768
9,1017,0.431,0.701
10,1285,0.397,0.642
11,1504,0.349,0.578
12,1637,0.293,0.509
13,1650,0.232,0.438
14,1650,0.186,0.379
15,1650,0.151,0.334
16,1650,0.125,0.299
17,1650,0.104,0.272
18,1650,0.087,0.249
19,1650,0.074,0.232
20,1650,0.064,0.218
