,Wind Speed [m/s],Power [kW],Cp [-],Ct [-]
0,0,0,0,0
1,0.25,0,0,0
2,0.5,0,0,0
3,0.75,0,0,0
4,1,0,0,0
5,1.25,0,0,0
6,1.5,0,0,0
7,1.75,0,0,0
8,2,0,0,0
9,2.25,0,0,0
10,2.5,0,0,0
11,2.75,0,0,0
12,3,0,0,0.912
13,3.25,181,0.380035384,0.89325
14,3.5,229,0.383393453,0.8745
15,3.75,294,0.401625815,0.8675
16,4,377,0.423427541,0.8605
17,4.25,473,0.443253177,0.85025
18,4.5,581,0.458603066,0.84
19,4.75,698,0.468585049,0.83275
20,5,822,0.473139146,0.8255
21,5.25,952,0.473160511,0.82175
22,5.5,1090,0.47133651,0.818
23,5.75,1241,0.469713323,0.8175
24,6,1410,0.469466567,0.817
25,6.25,1598,0.470873704,0.81425
26,6.5,1805,0.472783861,0.8115
27,6.75,2027,0.47418449,0.8115
28,7,2262,0.474457866,0.8115
29,7.25,2509,0.473501135,0.8085
30,7.5,2769,0.472192505,0.8055
31,7.75,3050,0.471329139,0.7985
32,8,3356,0.471431192,0.7915
33,8.25,3687,0.472268379,0.7765
34,8.5,4027,0.471636096,0.7615
35,8.75,4355,0.467579181,0.73625
36,9,4650,0.45881551,0.711
37,9.25,4897,0.44504456,0.68025
38,9.5,5101,0.427979842,0.6495
39,9.75,5275,0.409357613,0.61525
40,10,5429,0.390483588,0.581
41,10.25,5571,0.372130801,0.54625
42,10.5,5699,0.354129994,0.5115
43,10.75,5806,0.336181983,0.47825
44,11,5886,0.318066117,0.445
45,11.25,5934,0.299757733,0.41675
46,11.5,5957,0.281749822,0.3885
47,11.75,5966,0.26453758,0.36275
48,12,5970,0.248494343,0.337
49,12.25,5976,0.233820191,0.31625
50,12.5,5984,0.220370077,0.2955
51,12.75,5992,0.207949637,0.27675
52,13,5999,0.196395021,0.258
53,13.25,6000,0.185528143,0.24325
54,13.5,6000,0.175410719,0.2285
55,13.75,6000,0.166015768,0.21725
56,14,6000,0.157279937,0.206
57,14.25,6000,0.149146422,0.19325
58,14.5,6000,0.141564196,0.1805
59,14.75,6000,0.13448733,0.1735
60,15,6000,0.127874414,0.1665
61,15.25,6000,0.121688042,0.15775
62,15.5,6000,0.11589437,0.149
63,15.75,6000,0.110462727,0.143
64,16,6000,0.10536527,0.137
65,16.25,6000,0.10057669,0.13175
66,16.5,6000,0.09607394,0.1265
67,16.75,6000,0.091836008,0.119
68,17,6000,0.08784371,0.1115
69,17.25,6000,0.084079503,0.10925
70,17.5,6000,0.080527328,0.107
71,17.75,6000,0.077172463,0.10275
72,18,6000,0.074001397,0.0985
73,18.25,6000,0.071001713,0.09425
74,18.5,6000,0.068161988,0.09
75,18.75,6000,0.0654717,0.086
76,19,6000,0.062921147,0.082
77,19.25,6000,0.060501373,0.08075
78,19.5,6000,0.058204103,0.0795
79,19.75,6000,0.056021681,0.076
80,20,6000,0.053947018,0.0725
81,20.25,6000,0.051973546,0.06975
82,20.5,6000,0.050095169,0.067
83,20.75,6000,0.048306228,0.06325
84,21,6000,0.046601463,0.0595
85,21.25,6000,0.044975979,0.05825
86,21.5,6000,0.043425223,0.057
87,21.75,6000,0.041944947,0.0535
88,22,6000,0.040531193,0.05
89,22.25,6000,0.039180267,0.049
90,22.5,6000,0.037888715,0.048
91,22.75,6000,0.036653313,0.04475
92,23,6000,0.03547104,0.0415
93,23.25,6000,0.034339073,0.0405
94,23.5,6000,0.033254762,0.0395
95,23.75,6000,0.032215627,0.039
96,24,6000,0.031219339,0.0385
97,24.25,6000,0.030263713,0.03525
98,24.5,6000,0.029346694,0.032
99,24.75,6000,0.028466353,0.0315
100,25,6000,0.027620873,0.031
