Wind Speed [m/s],Power [kW],Cp [-]
0,0,0
0.25,0,0
0.5,0,0
0.75,0,0
1,0,0
1.25,0,0
1.5,0,0
1.75,0,0
2,0,0
2.25,0,0
2.5,0,0
2.75,0,0
3,0,0
3.25,0,0
3.5,0,0
3.75,0,0
4,675.4234403,0.400653061
4.25,810.1453521,0.400653061
4.5,961.6868905,0.400653061
4.75,1131.037446,0.400653061
5,1319.186407,0.400653061
5.25,1527.123164,0.400653061
5.5,1755.837107,0.400653061
5.75,2006.317626,0.400653061
6,2279.554111,0.400653061
6.25,2576.535951,0.400653061
6.5,2898.252536,0.400653061
6.75,3245.693256,0.400653061
7,3619.8475,0.400653061
7.25,4021.704659,0.400653061
7.5,4452.254123,0.400653061
7.75,4912.485281,0.400653061
8,5403.387522,0.400653061
8.25,5925.950238,0.400653061
8.5,6481.162817,0.400653061
8.75,6500,0.368350708
9,6500,0.338499584
9.25,6500,0.31178877
9.5,6500,0.287815946
9.75,6500,0.26623909
10,6500,0.246766197
10.25,6500,0.229146945
10.5,6500,0.213165919
10.75,6500,0.198637058
11,6500,0.185399096
11.25,6500,0.173311787
11.5,6500,0.16225278
11.75,6500,0.152115009
12,6500,0.142804512
12.25,6500,0.134238596
12.5,6500,0.126344293
12.75,6500,0.119057049
13,6500,0.112319616
13.25,6500,0.106081104
13.5,6500,0.100296173
13.75,6500,0.094924337
14,6500,0.089929372
14.25,6500,0.085278799
14.5,6500,0.080943441
14.75,6500,0.076897037
15,6500,0.07311591
15.25,6500,0.069578672
15.5,6500,0.066265972
15.75,6500,0.063160272
16,6500,0.060245653
16.25,6500,0.057507643
16.5,6500,0.054933065
16.75,6500,0.052509905
17,6500,0.050227192
17.25,6500,0.048074898
17.5,6500,0.046043838
17.75,6500,0.044125597
18,6500,0.042312448
18.25,6500,0.040597292
18.5,6500,0.038973596
18.75,6500,0.037435346
19,6500,0.035976993
19.25,6500,0.034593417
19.5,6500,0.033279886
19.75,6500,0.032032023
20,6500,0.030845775
20.25,6500,0.029717385
20.5,6500,0.028643368
20.75,6500,0.027620489
21,6500,0.02664574
21.25,6500,0.025716323
21.5,6500,0.024829632
21.75,6500,0.023983242
22,6500,0.023174887
22.25,6500,0.022402455
22.5,6500,0.021663973
22.75,6500,0.020957596
23,6500,0.020281597
23.25,6500,0.019634362
23.5,6500,0.019014376
23.75,6500,0.018420221
24,6500,0.017850564
24.25,6500,0.017304157
24.5,6500,0.016779825
24.75,6500,0.016276464
25,6500,0.015793037
