Wind Speed [m/s],Power [kW],Cp [-]
0,0,0
0.25,0,0
0.5,0,0
0.75,0,0
1,0,0
1.25,0,0
1.5,0,0
1.75,0,0
2,0,0
2.25,0,0
2.5,0,0
2.75,0,0
3,0,0
3.25,241.2893021,0.380346888
3.5,304.004283,0.38367849
3.75,391.5436048,0.401770656
4,500.8033128,0.423427541
4.25,628.6794518,0.443153678
4.5,772.068067,0.458468954
4.75,927.8652035,0.468485272
5,1092.966906,0.473139146
5.25,1265.669948,0.473297751
5.5,1449.874011,0.471556873
5.75,1650.879506,0.469898139
6,1873.986843,0.469466567
6.25,2123.152954,0.470579618
6.5,2396.960857,0.472294355
6.75,2692.650092,0.473762286
7,3007.4602,0.474457866
7.25,3338.248333,0.474019823
7.5,3680.342098,0.472059
7.75,4028.686713,0.468328159
8,4378.227397,0.462722094
8.25,4721.560493,0.455004399
8.5,5041.886837,0.444250781
8.75,5320.058391,0.429718571
9,5536.927115,0.410991804
9.25,5680.202778,0.388356452
9.5,5765.02638,0.363849989
9.75,5813.396731,0.339396999
10,5847.312639,0.316408541
10.25,5884.197967,0.295670205
10.5,5923.176795,0.276871773
10.75,5958.798256,0.259552474
11,5985.611486,0.243344958
11.25,5999.777427,0.22801817
11.5,6003.904272,0.213615185
11.75,6002.212019,0.200211775
12,5998.920672,0.187854353
12.25,5997.403912,0.176541542
12.5,5997.650152,0.166166309
12.75,5998.801483,0.156612282
13,6000,0.14777912
13.25,6000,0.139571099
13.5,6000,0.131959854
13.75,6000,0.12489212
14,6000,0.118320236
14.25,6000,0.112201468
14.5,6000,0.10649743
14.75,6000,0.101173569
15,6000,0.096198734
15.25,6000,0.091544784
15.5,6000,0.087186258
15.75,6000,0.083100083
16,6000,0.079265314
16.25,6000,0.075662909
16.5,6000,0.072275533
16.75,6000,0.069087376
17,6000,0.066084007
17.25,6000,0.063252229
17.5,6000,0.060579961
17.75,6000,0.058056127
18,6000,0.055670564
18.25,6000,0.053413929
18.5,6000,0.05127763
18.75,6000,0.049253752
19,6000,0.047334994
19.25,6000,0.045514621
19.5,6000,0.043786406
19.75,6000,0.04214459
20,6000,0.040583841
20.25,6000,0.039099216
20.5,6000,0.037686131
20.75,6000,0.036340327
21,6000,0.035057848
21.25,6000,0.033835012
21.5,6000,0.032668392
21.75,6000,0.031554794
22,6000,0.03049124
22.25,0,0
22.5,0,0
22.75,0,0
23,0,0
23.25,0,0
23.5,0,0
23.75,0,0
24,0,0
24.25,0,0
24.5,0,0
24.75,0,0
25,0,0
