Wind Speed [m/s],Power [kW],Cp [-]
0,0,0
0.25,0,0
0.5,0,0
0.75,0,0
1,0,0
1.25,0,0
1.5,0,0
1.75,0,0
2,0,0
2.25,0,0
2.5,0,0
2.75,0,0
3,0,0
3.25,102,0.38020227
3.5,129,0.38354616
3.75,166,0.401703413
4,212,0.423427541
4.25,266,0.443199871
4.5,327,0.458531216
4.75,393,0.468531594
5,463,0.473139146
5.25,536,0.473234037
5.5,613,0.471454569
5.75,698,0.469812337
6,793,0.469466567
6.25,899,0.470716149
6.5,1015,0.472521611
6.75,1140,0.473958297
7,1273,0.474457866
7.25,1412,0.473846103
7.5,1559,0.472605754
7.75,1715,0.471204211
8,1882,0.469960871
8.25,2058,0.46857757
8.5,2233,0.464985873
8.75,2396,0.457382923
9,2535,0.444610627
9.25,2640,0.426545921
9.5,2718,0.405319204
9.75,2776,0.383031846
10,2825,0.361246573
10.25,2871,0.340878533
10.5,2913,0.321725929
10.75,2948,0.303421525
11,2974,0.285679631
11.25,2988,0.268373383
11.5,2994,0.251755542
11.75,2995,0.236095372
12,2994,0.221589437
12.25,2995,0.208327218
12.5,2996,0.196178459
12.75,2998,0.184985027
13,3000,0.174612308
13.25,3000,0.164913905
13.5,3000,0.155920639
13.75,3000,0.147569572
14,3000,0.139804388
14.25,3000,0.132574598
14.5,3000,0.125834841
14.75,3000,0.119544294
15,3000,0.113666146
15.25,3000,0.108167148
15.5,3000,0.103017218
15.75,3000,0.09818909
16,3000,0.093658018
16.25,3000,0.089401502
16.5,3000,0.085399058
16.75,3000,0.081632007
17,3000,0.078083298
17.25,3000,0.074737336
17.5,3000,0.071579847
17.75,3000,0.068597745
18,3000,0.065779019
18.25,3000,0.063112634
18.5,3000,0.060588434
18.75,3000,0.058197067
19,3000,0.055929908
19.25,3000,0.053778998
19.5,3000,0.05173698
19.75,3000,0.049797049
20,3000,0.047952905
20.25,3000,0.046198708
20.5,3000,0.04452904
20.75,3000,0.04293887
21,3000,0.041423522
21.25,3000,0.039978648
21.5,3000,0.038600198
21.75,3000,0.037284397
22,3000,0.036027727
22.25,3000,0.034826904
22.5,3000,0.033678858
22.75,3000,0.032580722
23,3000,0.031529814
23.25,3000,0.03052362
23.5,3000,0.029559789
23.75,3000,0.028636113
24,3000,0.027750524
24.25,3000,0.026901078
24.5,3000,0.02608595
24.75,3000,0.025303424
25,3000,0.024551887
