Wind Speed [m/s],Power [kW],Cp [-]
4.17,11.75,0.153
4.58,26.46,0.255
5.02,41.79,0.308
5.5,67.86,0.382
6,95.69,0.417
6.51,131.45,0.446
6.99,164.31,0.452
7.49,209.85,0.469
7.99,253.8,0.468
8.47,301.19,0.466
9.02,362.48,0.464
9.51,406.7,0.445
10.01,468.74,0.439
10.47,508.55,0.417
10.99,551.26,0.391
11.5,587.82,0.364
11.99,612.36,0.334
12.48,634.38,0.307
13.01,646.79,0.277
13.49,651.4,0.25
13.99,658.4,0.226
14.5,659.46,0.204
14.91,661.11,0.188
15.39,661.16,0.171
15.96,660.87,0.153
16.42,661.22,0.141
16.91,660.49,0.129
17.45,661.47,0.117
17.91,662.42,0.108
