Wind Speed [m/s],Power [-],Cp [-]
3,0.010036255,0.164474644
3.5,0.032166306,0.331961767
4,0.057572872,0.398042028
4.5,0.09241811,0.448756294
5,0.130173701,0.460791282
5.5,0.178591991,0.474968627
6,0.232925685,0.477149688
6.5,0.301923701,0.486461137
7,0.376231061,0.485346095
7.5,0.46480267,0.487501366
8,0.554984127,0.479624781
8.5,0.65434614,0.471456666
9,0.750728355,0.455665664
9.5,0.828710137,0.427683848
10,0.898787879,0.39769325
10.5,0.939445346,0.359082827
11,0.973928571,0.323772579
11.5,0.985672619,0.286767668
12,0.994152778,0.254566004
12.5,0.998027778,0.226101583
13,0.99975,0.201350341
13.5,0.999944444,0.179831422
14,0.999431818,0.161161046
14.5,0.998068182,0.144859578
15,0.995909091,0.130568054
15.5,0.993181818,0.118011595
16,0.990568182,0.107007801
16.5,0.98875,0.097392537
17,0.987727273,0.088957239
17.5,0.987131313,0.081498909
18,0.986989899,0.074883512
18.5,0.956792208,0.06686417
19,0.926594517,0.059775048
19.5,0.896396825,0.053491834
20,0.866199134,0.047909184
20.5,0.836001443,0.042937471
21,0.805803752,0.038500149
21.5,0.775606061,0.03453161
22,0.745408369,0.030975422
22.5,0.715210678,0.027782892
23,0.685012987,0.024911869
23.5,0.654815296,0.022325759
24,0.624617605,0.019992703
24.5,0.594419913,0.017884883
25,0.564222222,0.015977954
