Wind Speed [m/s],Power [-],Cp [-]
3,0.009450483,0.193935677
3.5,0.025685386,0.331932241
4,0.043804348,0.379231768
4.5,0.068182367,0.414573941
5,0.095169082,0.421845416
5.5,0.131183575,0.436876676
6,0.170966184,0.438554864
6.5,0.22223128,0.448365909
7,0.27798913,0.44905668
7.5,0.346983696,0.455714392
8,0.420615942,0.455180066
8.5,0.505558575,0.456123208
9,0.594849034,0.452112691
9.5,0.687726449,0.444439221
10,0.78031401,0.432351401
10.5,0.859583333,0.411422042
11,0.924070048,0.384675303
11.5,0.960884662,0.350062191
12,0.98798913,0.316793232
12.5,0.994501812,0.282125931
13,1,0.252195544
13.5,1,0.225198846
14,1,0.20192187
14.5,1,0.181745413
15,1,0.164169959
15.5,1,0.14878953
16,1,0.135271878
16.5,1,0.12334332
17,1,0.112777043
17.5,1,0.103383997
18,1,0.095005763
18.5,1,0.087508911
19,1,0.080780524
19.5,1,0.074724606
20,1,0.069259201
20.5,1,0.064314054
21,1,0.059828702
21.5,1,0.055750926
22,1,0.052035463
22.5,1,0.048642951
23,1,0.045539049
23.5,1,0.042693708
24,1,0.040080556
24.5,1,0.037676384
25,1,0.035460711
