Wind Speed [m/s],Power [kW],Cp [-]
1.01,-4.92,-1.65
1.53,-5.44,-0.53
1.99,-5.78,-0.26
2.43,-5.56,-0.14
2.97,0.59,0.01
3.51,18.91,0.15
3.97,58.88,0.33
4.52,100.82,0.38
5.01,162.89,0.45
5.52,235.1,0.49
5.99,303.63,0.49
6.52,399.01,0.51
7.04,513.9,0.52
7.51,608.8,0.5
8,742.33,0.51
8.49,853.63,0.49
9.01,975.43,0.47
9.52,1096.64,0.44
10.03,1200,0.42
10.48,1260,0.38
10.99,1318,0.35
11.49,1390,0.32
11.98,1400,0.29
12.52,1453,0.26
12.97,1452,0.23
13.51,1478,0.21
13.97,1482,0.19
14.43,1496,0.17
15.01,1498,0.16
15.49,1495,0.14
15.98,1497,0.13
16.46,1505,0.12
16.97,1506,0.11
17.52,1512,0.1
18,1497,0.09
18.47,1509,0.08
19.06,1499,0.08
19.4,1502,0.07
19.96,1511,0.07
20.51,1508,0.06
20.95,1503,0.06
21.45,1499,0.05
