Wind Speed [m/s],Power [kW],Cp [-],Thrust [kN],Ct [-]
3,51.6203274,0.2368,59.15902157,0.814
3.5392,123.3681588,0.3446,81.33753438,0.8042
4.0485,213.241509,0.398,105.6415977,0.7982
4.5267,318.837998,0.4257,131.4666955,0.7945
4.973,435.9564867,0.439,158.0225341,0.7913
5.3862,560.8983052,0.4445,184.1549163,0.7861
5.7654,688.906312,0.4452,208.2935131,0.776
6.1098,819.1257759,0.4448,231.0204376,0.7664
6.4186,949.7236726,0.4448,254.9655571,0.7664
6.6912,1075.927005,0.4448,277.0800216,0.7664
6.9269,1193.682699,0.4448,296.9449476,0.7664
7.1252,1299.172102,0.4448,314.191524,0.7664
7.2857,1388.952513,0.4448,328.5047139,0.7664
7.408,1460.081742,0.4448,339.6264098,0.7664
7.4919,1510.222643,0.4448,347.3580161,0.7664
7.5371,1537.725022,0.4448,351.5624331,0.7664
7.5435,1541.682933,0.4448,352.1654264,0.7664
7.5758,1561.569465,0.4448,355.1873959,0.7664
7.6468,1605.876078,0.4448,361.8745379,0.7664
7.7563,1675.862931,0.4448,372.3136886,0.7664
7.9041,1773.500601,0.4448,386.6377314,0.7664
8.0899,1901.498529,0.4448,405.0239174,0.7664
8.3132,2063.341406,0.4448,427.6916155,0.7664
8.5735,2263.331677,0.4448,454.8995164,0.7664
8.8703,2506.635948,0.4448,486.9423153,0.7664
9.203,2799.332771,0.4448,524.1469056,0.7664
9.5707,3148.458978,0.4448,566.86812,0.7664
9.8127,3370,0.4417,627.2778066,0.8068
10.408,3370.000035,0.3702,464.1349468,0.5306
10.8757,3370.000717,0.3244,426.6328697,0.4467
11.3748,3370.000086,0.2836,397.1305987,0.3801
11.9041,3370.000018,0.2474,372.3838258,0.3254
12.4625,3370.011453,0.2156,350.9650611,0.2798
13.0487,3370.00003,0.1878,332.0121364,0.2415
13.6615,3370.001728,0.1637,315.0514158,0.209
14.2995,3370.008641,0.1427,299.8321163,0.1816
14.9612,3370.033669,0.1246,286.0848232,0.1583
15.6452,3370.000061,0.109,273.6208499,0.1384
16.35,3370.000238,0.0955,262.0838634,0.1214
17.074,3370.001502,0.0838,251.6840928,0.1069
17.8155,3370.002288,0.0738,242.3162553,0.0945
18.5731,3370.002284,0.0651,233.7869761,0.0839
19.3448,3370.018233,0.0576,226.0189728,0.0748
20.1292,3370.034011,0.0512,218.9436879,0.0669
20.9244,3370.004589,0.0456,212.4962122,0.0601
21.7286,3369.999956,0.0407,206.5729122,0.0542
22.5401,3370.000667,0.0364,201.2740021,0.0491
23.357,3370.003948,0.0328,196.4747518,0.0446
24.1776,3370.00009,0.0295,191.788032,0.0406
25,3370.104925,0.0267,187.8573918,0.0372
