Wind Speed [m/s],Power [kW],Cp [-]
0,0,0
0.25,0,0
0.5,0,0
0.75,0,0
1,0,0
1.25,0,0
1.5,0,0
1.75,0,0
2,0,0
2.25,0,0
2.5,0,0
2.75,0,0
3,0,0
3.25,0,0
3.5,0,0
3.75,0,0
4,224.3657143,0.400457696
4.25,269.1183482,0.400457696
4.5,319.4582143,0.400457696
4.75,375.7139732,0.400457696
5,438.2142857,0.400457696
5.25,507.2878125,0.400457696
5.5,583.2632143,0.400457696
5.75,666.4691518,0.400457696
6,757.2342857,0.400457696
6.25,855.8872768,0.400457696
6.5,962.7567857,0.400457696
6.75,1078.171473,0.400457696
7,1202.46,0.400457696
7.25,1335.951027,0.400457696
7.5,1478.973214,0.400457696
7.75,1631.855223,0.400457696
8,1794.925714,0.400457696
8.25,1968.513348,0.400457696
8.5,2152.946786,0.400457696
8.75,2348.554688,0.400457696
9,2555.665714,0.400457696
9.25,2774.608527,0.400457696
9.5,3005.711786,0.400457696
9.75,3249.304152,0.400457696
10,3505.714286,0.400457696
10.25,3775.270848,0.400457696
10.5,4058.3025,0.400457696
10.75,4355.137902,0.400457696
11,4666.105714,0.400457696
11.25,4991.534598,0.400457696
11.5,5000,0.375540352
11.75,5000,0.352076089
12,5000,0.330526582
12.25,5000,0.310700437
12.5,5000,0.292428766
12.75,5000,0.275562157
13,5000,0.259968108
13.25,5000,0.245528831
13.5,5000,0.232139383
13.75,5000,0.21970606
14,5000,0.20814502
14.25,5000,0.197381088
14.5,5000,0.187346733
14.75,5000,0.177981175
15,5000,0.16922961
15.25,5000,0.161042535
15.5,5000,0.153375163
15.75,5000,0.1461869
16,5000,0.139440902
16.25,5000,0.133103671
16.5,5000,0.127144711
16.75,5000,0.121536212
17,5000,0.116252785
17.25,5000,0.111271216
17.5,5000,0.10657025
17.75,5000,0.102130406
18,5000,0.097933802
18.25,5000,0.093964006
18.5,5000,0.0902059
18.75,5000,0.08664556
19,5000,0.083270146
19.25,5000,0.080067806
19.5,5000,0.077027588
19.75,5000,0.07413936
20,5000,0.071393742
20.25,5000,0.068782039
20.5,5000,0.066296186
20.75,5000,0.063928693
21,5000,0.061672598
21.25,5000,0.059521426
21.5,5000,0.057469147
21.75,5000,0.055510143
22,5000,0.053639175
22.25,5000,0.051851352
22.5,5000,0.050142107
22.75,5000,0.048507169
23,5000,0.046942544
23.25,5000,0.045444493
23.5,5000,0.044009511
23.75,5000,0.042634315
24,5000,0.041315823
24.25,5000,0.040051142
24.5,5000,0.038837555
24.75,5000,0.037672507
25,5000,0.036553596
