Wind Speed [m/s],Power [kW],Cp [-]
0,0,0
0.25,0,0
0.5,0,0
0.75,0,0
1,0,0
1.25,0,0
1.5,0,0
1.75,0,0
2,0,0
2.25,0,0
2.5,0,0
2.75,0,0
3,0,0
3.25,52.9054,0.250897918
3.5,74.3347,0.282250421
3.75,99.0548,0.30579393
4,127.301,0.323816504
4.25,159.308,0.337845341
4.5,195.31,0.348926599
4.75,235.544,0.357798368
5,280.244,0.364983683
5.25,329.645,0.370864891
5.5,383.982,0.375724864
5.75,443.491,0.379776787
6,508.406,0.383181078
6.25,578.962,0.38606208
6.5,655.394,0.388516556
6.75,737.938,0.390621097
7,826.829,0.39243589
7.25,922.301,0.394008688
7.5,1024.59,0.395378875
7.75,1133.93,0.396577688
8,1250.56,0.397632351
8.25,1374.71,0.398562455
8.5,1506.61,0.399384501
8.75,1646.51,0.400117321
9,1794.64,0.400771614
9.25,1951.22,0.401354539
9.5,2116.51,0.401880235
9.75,2290.72,0.402351198
10,2320,0.377689685
10.25,2320,0.350722419
10.5,2320,0.32626255
10.75,2320,0.304025304
11,2320,0.28376385
11.25,2320,0.265263537
11.5,2320,0.248337098
11.75,2320,0.232820664
12,2320,0.218570419
12.25,2320,0.205459798
12.5,2320,0.193377118
12.75,2320,0.182223578
13,2320,0.171911554
13.25,2320,0.162363158
13.5,2320,0.153508991
13.75,2320,0.145287091
14,2320,0.137642013
14.25,2320,0.130524047
14.5,2320,0.123888535
14.75,2320,0.117695284
15,2320,0.111908055
15.25,2320,0.106494111
15.5,2320,0.101423835
15.75,2320,0.096670385
16,2320,0.092209396
16.25,2320,0.088018716
16.5,2320,0.084078178
16.75,2320,0.080369393
17,2320,0.076875572
17.25,2320,0.073581362
17.5,2320,0.070472711
17.75,2320,0.067536733
18,2320,0.064761606
18.25,2320,0.062136461
18.5,2320,0.059651304
18.75,2320,0.057296924
19,2320,0.055064832
19.25,2320,0.052947191
19.5,2320,0.050936757
19.75,2320,0.049026831
20,2320,0.047211211
20.25,2320,0.045484146
20.5,2320,0.043840302
20.75,2320,0.042274728
21,2320,0.040782819
21.25,2320,0.039360293
21.5,2320,0.038003163
21.75,2320,0.036707714
22,2320,0.035470481
22.25,2320,0.034288231
22.5,2320,0.033157942
22.75,2320,0.032076791
23,2320,0.031042137
23.25,2320,0.030051507
23.5,2320,0.029102583
23.75,2320,0.028193194
24,2320,0.027321302
24.25,2320,0.026484995
24.5,2320,0.025682475
24.75,2320,0.024912053
25,0,0
