Wind Speed [m/s],Power [kW],Cp [-]
1,0,0
2,0,0
3,0,0
4,471,0.364030051
4.5,733,0.397889737
5,1059,0.41906583
5.5,1455,0.432584773
6,1928,0.441519188
6.5,2483,0.447232085
7,3125,0.450663313
7.5,3860,0.452584648
8,4691,0.453201956
8.5,5622,0.452824971
9,6655,0.451561425
9.5,7792,0.449546304
10,8858,0.438159245
10.5,9417,0.402384253
11,9767,0.362977275
12,10000,0.28625466
13,10000,0.225147043
14,10000,0.180265325
15,10000,0.146562386
16,10000,0.120763685
17,10000,0.100681468
18,10000,0.084816196
19,10000,0.072116643
20,10000,0.061831007
21,10000,0.053411948
22,10000,0.04645455
23,10000,0.04065489
24,10000,0.035781832
25,10000,0.031657475
