Wind Speed [m/s],Power [kW],Cp [-],Thrust [kN],Ct [-],,,,,
2.999999831,70.021377,0.100335552,593.964861,0.819748943,,,,,
3.499999916,301.9937,0.272197208,659.768436,0.801112031,,,,,
4,595.088475,0.359305118,744.019844,0.808268424,,,,,
4.500000084,964.887394,0.409156685,844.283886,0.821910918,,,,,
4.750000126,1185.081978,0.42729002,896.218567,0.822876237,,,,,
5.000000169,1429.216889,0.441819614,950.66647,0.823265981,,,,,
5.249999874,1695.245223,0.452708049,1013.407273,0.830989358,,,,,
5.999999663,2656.263808,0.475270298,1206.649681,0.834932456,,,,,
6.199999966,2957.216831,0.479478644,1260.317718,0.833618598,,,,,
6.40000027,3275.743373,0.482871263,1315.060648,0.83180478,,,,,
6.499999747,3442.669566,0.484447627,1340.858086,0.829011103,,,,,
6.55000016,3528.654678,0.485186337,1353.03462,0.826909201,,,,,
6.599999899,3614.989064,0.485905846,1365.170435,0.824740997,,,,,
6.700000051,3791.164267,0.487114154,1389.573781,0.820429675,,,,,
6.800000202,3971.967845,0.488094793,1414.180748,0.816176257,,,,,
6.900000354,4155.58904,0.488866488,1437.989395,0.811200233,,,,,
6.919999845,4192.387051,0.488988058,1442.160463,0.809740903,,,,,
6.929999928,4210.773549,0.489050152,1443.944251,0.808780765,,,,,
6.94000001,4228.841377,0.489088858,1446.095476,0.808102306,,,,,
6.950000093,4247.186435,0.489114531,1448.433817,0.807566626,,,,,
6.960000175,4265.458105,0.489127764,1451.063716,0.807251977,,,,,
6.969999584,4283.898392,0.48915576,1453.280931,0.80662442,,,,,
6.980000341,4301.948494,0.489165047,1456.152592,0.806495512,,,,,
6.989999749,4320.289911,0.489154466,1459.581324,0.806806173,,,,,
6.999999831,4339.296326,0.489163867,1462.408574,0.806651158,,,,,
7.499999916,5338.82324,0.489224161,1618.598616,0.805469658,,,,,
8,6481.116995,0.489263048,1785.688325,0.804571567,,,,,
8.500000084,7774.570984,0.48928802,1963.797766,0.803949121,,,,,
9.000000169,9229.227024,0.489293116,2153.76621,0.803904895,,,,,
9.500000253,10855.04374,0.489304304,2354.153957,0.803708734,,,,,
10.00000034,12661.25448,0.489319143,2565.156695,0.80345211,,,,,
10.2499997,13638.148,0.48938292,2670.036159,0.801706154,,,,,
10.49999975,14660.65727,0.489378059,2782.638159,0.801777393,,,,,
10.60000057,14994.84635,0.486507177,2727.830431,0.768657554,,,,,
10.70000005,14994.64979,0.472991558,2582.325993,0.70731525,,,,,
10.72000022,14994.61195,0.470349316,2563.16707,0.698507743,,,,,
10.73999971,14994.55374,0.467724941,2545.414142,0.690211963,,,,,
10.76000055,14994.52082,0.465119143,2528.795404,0.682335591,,,,,
10.78000004,14994.55424,0.462537044,2513.190807,0.674835939,,,,,
10.78400034,14994.52965,0.462021882,2510.161326,0.673371183,,,,,
10.78600049,14994.53211,0.461765284,2508.666998,0.672646111,,,,,
10.78699989,14994.53141,0.461636557,2507.917813,0.672283185,,,,,
10.78799997,14994.51543,0.46150846,2507.17275,0.671921569,,,,,
10.78899937,14994.52466,0.461380941,2506.43983,0.671564033,,,,,
10.78950042,14994.59142,0.461317766,2506.078932,0.671386994,,,,,
10.8000002,14994.53984,0.459972382,2498.382011,0.667639697,,,,,
10.89999968,14994.4265,0.447424184,2433.69366,0.635292304,,,,,
10.99999983,14994.26629,0.435324299,2379.709865,0.607277698,,,,,
11.24999987,14994.02192,0.406934831,2271.612586,0.548965866,,,,,
11.50000059,14994.10762,0.380965216,2185.962064,0.501379105,,,,,
11.75000063,14994.17514,0.357157168,2114.041428,0.460982977,,,,,
11.99999933,14994.17331,0.335295525,2051.783979,0.425965654,,,,,
12.99999949,14994.76256,0.263718683,1861.059797,0.32116631,,,,,
13.99999966,14994.76121,0.211136579,1724.382126,0.2511023,,,,,
14.99999983,14994.75771,0.171651956,1619.130709,0.201415182,,,,,
17.50000025,14994.82665,0.108080744,1434.534952,0.125653944,,,,,
20.00000067,14994.82754,0.072394937,1314.275979,0.08506697,,,,,
22.49999975,14996.27008,0.050842443,1229.73494,0.061026446,,,,,
24.99999882,14997.62687,0.037062292,1168.739896,0.045814967,,,,,
