Wind Speed [m/s],Power [kW],Cp [-]
1,0,0
2,0,0
3,0,0
4,499,0.263524644
5,1424,0.385035382
6,2732,0.427491622
7,4469,0.440369162
8,6643,0.438525604
9,9459,0.438549238
10,12975,0.438538807
11,15000,0.380902539
12,15000,0.293391944
13,15000,0.23076071
14,15000,0.184759941
15,15000,0.150216675
16,15000,0.123774726
17,15000,0.103191793
18,15000,0.086930946
19,15000,0.073914751
20,15000,0.06337266
21,15000,0.054743686
22,15000,0.047612817
23,15000,0.041668553
24,15000,0.036673993
25,15000,0.032446802
