Wind Speed [m/s],Power [kW],Cp [-]
1,0,0
2,0,0
3,0,0
4,359,0.359893075
4.5,561,0.394988394
5,812,0.416778235
5.5,1118,0.431134474
6,1483,0.44050051
6.5,1911,0.446456996
7,2407,0.450236796
7.5,2974,0.452289171
8,3616,0.453124429
8.5,4336,0.452993022
9,5135,0.451930794
9.5,6015,0.450115358
10,6976,0.447574657
10.5,7518,0.416671158
11,7813,0.376616015
12,8000,0.297033385
13,8000,0.233624802
14,8000,0.187053094
15,8000,0.152081093
16,8000,0.125310959
17,8000,0.10447256
18,8000,0.088009892
19,8000,0.074832146
20,8000,0.064159211
21,8000,0.055423139
22,8000,0.048203765
23,8000,0.042185723
24,8000,0.037129173
25,8000,0.032849516
