Wind Speed [m/s],Power [kW],Cp [-]
1.52,-0.263,0
2,-0.385,0
2.56,-0.541,0
3.02,-0.327,0
3.53,0.113,0.03
4,0.732,0.13
4.5,1.56,0.2
4.99,2.821,0.26
5.51,4.441,0.31
6,5.976,0.32
6.5,7.88,0.33
6.99,10.19,0.35
7.49,12.39,0.34
8.01,14.84,0.33
8.5,17.64,0.33
9.1,19.96,0.32
9.5,22.36,0.3
10,24.24,0.28
10.49,26.1,0.26
10.99,27.21,0.24
11.49,28.77,0.22
12,29.62,0.2
12.48,30.36,0.18
12.96,31.04,0.17
13.51,31.9,0.15
13.97,31.99,0.14
14.5,32.88,0.12
14.99,33.14,0.11
15.51,33.93,0.11
15.99,34.23,0.1
16.47,34.15,0.09
16.95,33.9,0.08
17.51,34.11,0.07
17.96,33.53,0.07
18.54,32.67,0.06
18.96,32.92,0.06
19.4,31.72,0.05
