Wind Speed [m/s],Power [kW],Cp [-]
0.56,-0.018,0
1.04,-0.018,0
1.52,-0.018,0
2.02,-0.017,0
2.51,-0.012,0
3,0.003,0.02
3.51,0.034,0.12
4.03,0.084,0.2
4.46,0.132,0.23
5,0.203,0.25
5.49,0.285,0.26
6,0.391,0.28
6.5,0.51,0.28
6.99,0.643,0.29
7.49,0.799,0.29
7.99,0.968,0.29
8.5,1.146,0.28
8.99,1.333,0.28
9.48,1.531,0.27
9.98,1.745,0.27
10.47,1.938,0.26
10.97,2.101,0.24
11.47,2.242,0.23
11.93,2.301,0.21
12.45,2.363,0.19
12.97,2.403,0.17
13.5,2.403,0.15
13.99,2.425,0.14
14.52,2.388,0.12
15.02,2.412,0.11
15.45,2.403,0.1
15.99,2.393,0.09
16.5,2.321,0.08
