Wind Speed [m/s],Power [kW],Cp [-]
1,-0.6,-2.239397918
2,-0.6,-0.27992474
3,0.9,0.124410995
4,5,0.291588271
5,11.7,0.349346075
6,22.2,0.383600569
7,35.5,0.3862907
8,49.9,0.363756367
9,63.4,0.324594943
10,74.7,0.278805041
11,83.5,0.234146915
12,89.7,0.193744206
13,93.7,0.159180386
14,95.5,0.129897049
15,95.2,0.105279349
16,92.5,0.084287234
17,87.7,0.066624329
18,81.1,0.051901912
19,73.8,0.040158324
20,67.3,0.031398225
21,62.4,0.02514819
22,57.7,0.020224966
23,54,0.016564955
24,50.6,0.01366145
25,47.4,0.011322396
