Wind Speed [m/s],Power [kW],Cp [-]
0,-0.009,0
0.5,-0.009,0
1,-0.009,0
1.5,-0.009,0
2,-0.007,0
2.5,-0.004,0
3,0.007,0.06
3.5,0.027,0.15
4,0.057,0.2
4.5,0.094,0.24
5,0.141,0.26
5.5,0.2,0.28
6,0.27,0.29
6.5,0.348,0.29
7,0.443,0.3
7.5,0.556,0.3
8,0.677,0.3
8.5,0.816,0.31
9,0.954,0.3
9.5,1.107,0.3
10,1.237,0.28
10.5,1.362,0.27
11,1.483,0.26
11.5,1.578,0.24
12,1.64,0.22
12.5,1.682,0.2
13,1.707,0.18
13.5,1.719,0.16
14,1.715,0.14
14.5,1.695,0.13
15,1.673,0.11
15.5,1.631,0.1
16,1.603,0.09
16.5,1.546,0.08
17,1.527,0.07
17.5,1.532,0.07
18,1.511,0.06
18.5,1.481,0.05
