Wind Speed [m/s],Power [kW],Cp [-]
3.02,0.86,0.089
3.5,4,0.266
4.01,8.84,0.391
4.5,14.3,0.447
4.99,19.91,0.457
5.49,24.69,0.425
5.97,33.05,0.443
6.5,45.93,0.477
7.01,59.75,0.495
7.5,72.44,0.49
7.96,84.16,0.476
8.46,98.21,0.463
8.95,113.99,0.453
9.48,129.44,0.433
10,146.96,0.419
10.44,159.63,0.4
10.96,168.38,0.365
11.51,186.68,0.349
12.01,197.06,0.324
12.39,202.11,0.303
13,217.93,0.283
13.5,221.58,0.257
13.98,224.77,0.235
14.5,227.43,0.213
15,218.91,0.185
15.54,226.79,0.172
16.03,228.63,0.158
16.47,229.92,0.147
16.98,225.85,0.132
17.37,221.82,0.121
18.19,236.36,0.112
