Wind Speed [m/s],Power [kW],Cp [-]
1,0.000,0
2,0.000,0
3,0.178,0.089277995
4,1.147,0.242279408
5,3.428,0.370726681
6,6.403,0.400785601
7,10.168,0.400785601
8,14.040,0.370726681
9,16.500,0.305996931
10,18.400,0.248758814
11,20.015,0.203304288
12,21.636,0.169274614
13,23.349,0.143679113
14,24.482,0.120621396
15,26.096,0.104535399
16,26.424,0.087217808
17,25.641,0.070558491
18,25.641,0.059439963
19,26.026,0.051298101
20,25.385,0.042898416
21,0.000,0
22,0.000,0
23,0.000,0
24,0.000,0
25,0.000,0
26,0.000,0
27,0.000,0
28,0.000,0
29,0.000,0
30,0.000,0
31,0.000,0
32,0.000,0
33,0.000,0
34,0.000,0
35,0.000,0
36,0.000,0
37,0.000,0
38,0.000,0
39,0.000,0
40,0.000,0
