Wind Speed [m/s],Power [kW],Cp [-]
0.59,0,0
1.03,0,0
1.51,0,0
2.01,0,0
2.51,0,0
3.01,0,0
3.5,-0.001,0
4,0.017,0.03
4.5,0.074,0.11
5,0.166,0.17
5.5,0.282,0.22
6,0.422,0.25
6.5,0.582,0.27
7,0.763,0.29
7.49,0.965,0.3
7.99,1.196,0.3
8.49,1.434,0.3
8.99,1.678,0.3
9.48,1.926,0.29
9.99,2.173,0.28
10.48,2.377,0.27
10.99,2.54,0.25
11.49,2.648,0.23
12,2.732,0.2
12.49,2.773,0.18
13,2.822,0.17
13.49,2.849,0.15
14,2.971,0.14
14.49,2.885,0.12
14.99,2.904,0.11
15.5,2.917,0.1
15.99,2.93,0.09
16.51,2.937,0.08
17,2.952,0.08
17.48,2.962,0.07
17.97,2.978,0.07
18.45,2.987,0.06
19.01,2.995,0.06
19.49,3.025,0.05
