Wind Speed [m/s],Power [kW],Cp [-]
0.51,-0.04,0
1.05,-0.04,0
1.55,-0.04,0
2.01,-0.04,0
2.5,-0.04,0
2.99,-0.02,0
3.52,0.03,0.02
4,0.17,0.06
4.51,0.35,0.09
5.01,0.66,0.12
5.5,1.07,0.15
5.99,1.6,0.17
6.5,2.19,0.19
7,2.97,0.2
7.51,3.84,0.21
8.01,4.63,0.21
8.49,5.58,0.21
9,6.67,0.21
9.49,7.91,0.22
10,9.19,0.21
10.5,10.62,0.21
10.99,12,0.21
11.5,13.14,0.2
11.98,14.48,0.2
12.5,15.72,0.19
13,16.47,0.17
13.49,17.52,0.17
13.99,18.28,0.16
14.5,18.62,0.14
14.99,19.06,0.13
15.5,19.2,0.12
15.98,19.54,0.11
16.49,19.58,0.1
16.97,19.78,0.09
17.49,19.91,0.09
17.99,20,0.08
18.49,20.03,0.07
19.06,19.66,0.07
19.44,19.98,0.06
19.97,19.84,0.06
20.51,20.12,0.05
21.04,20.18,0.05
