Wind Speed [m/s],Power [kW],Cp [-]
0,-0.6,0
1,-0.6,-1.661323278
2,-0.6,-0.20766541
3,3.1,0.317907541
4,8.5,0.36774083
5,16,0.354415633
6,28.8,0.369182951
7,45.6,0.368106616
8,71,0.38396469
9,85.2,0.323604809
10,89.7,0.24836783
11,90,0.187226515
12,88.2,0.141327848
13,85.8,0.108133468
14,82.7,0.083449608
15,79.4,0.065140281
16,77.1,0.052119151
17,75.3,0.042437629
18,73.9,0.035085674
19,72.4,0.029226759
20,71.1,0.024608351
