Wind Speed [m/s],Power [kW],Cp [-]
0.54,-0.01,0
1.02,-0.01,0
1.52,-0.01,0
2,-0.01,0
2.5,-0.01,0
3,-0.01,0
3.5,-0.01,0
4,-0.01,0
4.49,-0.01,0
4.99,0,0.01
5.5,0.02,0.07
5.99,0.05,0.11
6.5,0.08,0.14
6.99,0.13,0.17
7.5,0.18,0.2
8,0.25,0.22
8.51,0.33,0.25
9,0.43,0.27
9.5,0.53,0.28
10,0.65,0.3
10.49,0.77,0.31
10.99,0.9,0.31
11.5,1.02,0.31
11.99,1.14,0.3
12.5,1.25,0.29
12.99,1.33,0.28
13.49,1.39,0.26
14,1.43,0.24
14.5,1.41,0.21
14.98,1.34,0.18
15.5,1.21,0.15
16,1.09,0.12
16.48,0.97,0.1
16.99,0.76,0.07
17.49,0.65,0.06
17.97,0.54,0.04
18.48,0.47,0.03
18.97,0.4,0.03
19.49,0.4,0.02
19.99,0.35,0.02
20.5,0.37,0.02
20.95,0.32,0.02
21.44,0.37,0.02
21.99,0.36,0.02
22.48,0.38,0.02
23.02,0.37,0.01
23.51,0.4,0.01
23.99,0.4,0.01
