Wind Speed [m/s],Power [kW],Cp [-]
1,0.000,0
2,0.000,0
3,2.160,0.21831
4,8.640,0.3684
5,17.856,0.38982
6,30.855,0.38982
7,48.997,0.38982
8,73.139,0.38982
9,90.828,0.34
10,98.941,0.27
11,99.988,0.205
12,99.833,0.157658611
13,99.833,0.124002767
14,99.833,0.099283557
15,98.333,0.079508369
16,94.000,0.062625869
17,86.833,0.048230923
18,79.833,0.037355333
19,72.833,0.028977122
20,65.833,0.022456482
21,59.167,0.017434323
22,53.167,0.013625651
23,48.000,0.010765733
24,44.000,0.0086857
25,41.333,0.007218821
26,0.000,0
27,0.000,0
28,0.000,0
29,0.000,0
30,0.000,0
31,0.000,0
32,0.000,0
33,0.000,0
34,0.000,0
35,0.000,0
36,0.000,0
37,0.000,0
38,0.000,0
39,0.000,0
40,0.000,0
