Wind Speed [m/s],Power [kW],Cp [-],
3.61,3.52,0.184,
3.99,6.4,0.245,
4.47,11.02,0.323,
4.99,17.99,0.358,
5.51,26.19,0.386,
6.04,37.23,0.415,
6.52,47.94,0.427,
6.99,61.11,0.441,
7.5,77.37,0.45,
7.98,93.31,0.452,
8.44,110.26,0.453,
9.04,131.09,0.439,
9.46,147.92,0.431,
10.01,168.09,0.414,
10.51,182.83,0.39,
11,196.23,0.365,
11.47,205.21,0.336,
11.99,212.13,0.304,
12.5,219.33,0.278,
12.98,221.4,0.25,
13.49,223.1,0.224,
13.93,224.37,0.205,
14.48,224.12,0.182,
14.98,223.99,0.165,
15.3,224.83,0.155,
15.99,224.58,0.136,
16.41,225.03,0.126,
16.91,225.34,0.115,
17.41,224.4,0.105,
17.99,226.01,0.096,
18.5,225.53,0.088,
18.8,221.78,0.083,
19.38,223.73,0.076,
19.92,226.66,0.071,
