Wind Speed [m/s],Power [kW],Cp [-]
0.5,-0.012,0
1,-0.012,0
1.5,-0.011,0
2,0,0
2.5,0.039,0.11
3,0.102,0.16
3.5,0.229,0.23
4,0.399,0.26
4.5,0.596,0.28
5,0.848,0.29
5.5,1.151,0.29
6,1.51,0.3
6.5,1.938,0.3
7,2.403,0.3
7.5,2.949,0.3
8,3.602,0.3
8.5,4.306,0.3
9,5.071,0.3
9.5,5.96,0.29
10,6.856,0.29
10.5,7.849,0.29
11,8.863,0.28
11.5,9.928,0.28
12,10.885,0.27
12.5,11.619,0.25
13,12.019,0.23
13.5,12.276,0.21
14,12.395,0.19
14.5,12.449,0.17
15,12.495,0.16
15.5,12.508,0.14
16,12.546,0.13
16.5,12.555,0.12
17,12.503,0.11
17.5,12.528,0.1
18,12.442,0.09
18.5,12.396,0.08
19,12.208,0.08
19.5,11.878,0.07
20,11.989,0.06
20.5,11.495,0.06
