Wind Speed [m/s],Power [kW],Cp [-]
1.5,-0.51,0
2,-0.31,0
2.5,-0.36,0
2.9,1,0.18
3.6,2.59,0.26
4,4,0.28
4.5,6.21,0.31
5,8.99,0.33
5.5,12.58,0.34
6,17.29,0.36
6.5,21.23,0.35
7,26.03,0.34
7.5,31.5,0.34
7.9,36.53,0.33
8.5,43.38,0.32
9,48.44,0.3
9.5,52.69,0.28
10,55.67,0.25
10.5,59.17,0.23
11,61.24,0.21
11.5,61.63,0.18
12,61.95,0.16
12.4,63.24,0.15
13,65.6,0.13
13.4,65,0.12
14.1,64.28,0.1
14.5,64.8,0.1
