Wind Speed [m/s],Power [kW],Cp [-]
0.5,-0.08,0
1.11,-0.07,0
1.53,-0.05,0
2.05,-0.02,0
2.5,0.01,0.07
2.97,0.07,0.21
3.5,0.14,0.27
4.01,0.18,0.23
4.53,0.27,0.24
5.04,0.4,0.25
5.52,0.53,0.26
6.02,0.69,0.26
6.5,0.89,0.26
7,1.11,0.26
7.49,1.36,0.26
8.01,1.63,0.26
8.5,1.89,0.25
9.01,2.17,0.24
9.5,2.45,0.23
10,2.76,0.23
10.49,3.03,0.21
10.99,3.31,0.2
11.49,3.58,0.19
12,3.82,0.18
12.5,4.01,0.17
12.99,4.22,0.16
13.49,4.34,0.14
13.96,4.48,0.13
14.49,4.48,0.12
14.99,4.38,0.11
15.47,4.29,0.09
15.97,4.27,0.09
16.52,4.02,0.07
16.97,4.01,0.07
17.49,3.69,0.06
17.99,3.7,0.05
18.51,3.36,0.04
19.02,3.55,0.04
19.49,3.47,0.04
19.98,3.51,0.04
20.49,3.62,0.03
20.98,3.56,0.03
21.51,3.68,0.03
