Wind Speed [m/s],Power [kW],Cp [-]
0.57,-0.07,0
1,-0.07,0
1.52,-0.07,0
2,-0.07,0
2.46,-0.07,0
3.05,-0.06,0
3.48,0.02,0.01
3.99,0.35,0.09
4.53,0.97,0.17
5.03,1.52,0.2
5.52,2.15,0.21
6,2.93,0.23
6.5,3.93,0.24
7,5.03,0.25
7.49,6.31,0.25
8,7.75,0.25
8.49,9.15,0.25
8.99,10.66,0.25
9.48,12.29,0.24
9.98,13.83,0.23
10.48,14.66,0.21
11,15,0.19
11.49,14.87,0.16
12.01,14.68,0.14
12.5,14.73,0.13
13,14.79,0.11
13.49,14.9,0.1
13.99,14.91,0.09
14.47,15.07,0.08
14.97,14.93,0.07
15.47,14.92,0.07
15.93,15.06,0.06
