Wind Speed [m/s],Power [kW],Cp [-]
0.54,-0.46,0
1.02,-0.5,0
1.51,-0.63,0
2,-0.69,0
2.5,-0.8,0
3,-1.03,0
3.5,-1.3,0
3.99,-1.76,0
4.49,-2.06,0
5,-1.8,0
5.5,-0.18,0
5.99,2.05,0.09
6.49,5.22,0.18
7,8.33,0.22
7.49,12.15,0.27
7.99,15.86,0.29
8.5,20.36,0.31
9,23.97,0.3
9.5,28.34,0.31
9.99,32.08,0.3
10.5,37.62,0.3
11,40.41,0.28
11.5,43.73,0.27
11.98,48.39,0.26
12.48,51.89,0.25
12.99,55.27,0.23
13.51,58.09,0.22
14,61.2,0.21
14.47,64.9,0.2
15,66.69,0.18
15.49,69.33,0.17
16.02,70.65,0.16
16.48,70.37,0.15
17.02,72.63,0.14
17.48,73.34,0.13
18.01,73.33,0.12
18.51,74.81,0.11
19.05,73.39,0.1
19.53,73.1,0.09
20,71.78,0.08
20.49,72.11,0.08
