Wind Speed [m/s],Power [kW],Cp [-]
0,0,0
1,-0.5,-1.74579955
2,-0.5,-0.218224944
3,1.2,0.155182182
4,7.5,0.40917177
5,14.5,0.405025496
6,24.7,0.399270823
7,37.9,0.385806431
8,58.7,0.400306381
9,74.8,0.3582601
10,85.1,0.297135083
11,90.2,0.236620765
12,94.7,0.191350946
13,95.3,0.151456256
14,95.1,0.121009867
15,94.2,0.09745441
16,92.9,0.079191786
17,91.2,0.064814541
18,88.9,0.053224136
19,87.1,0.044338574
20,84.1,0.036705436
21,81.3,0.030651874
22,78.6,0.025773825
23,76.1,0.021838637
24,74.3,0.018766335
25,71.7,0.01602225
