Wind Speed [m/s],Power [kW],Cp [-]
0.52,-0.08,0
1.05,-0.08,0
1.51,-0.08,0
2,-0.08,0
2.45,-0.08,0
3.03,-0.05,0
3.49,0.14,0.04
4.02,0.7,0.13
4.54,1.44,0.19
5.02,2.07,0.2
5.52,2.86,0.21
6,3.92,0.22
6.5,5.19,0.23
7,6.72,0.24
7.5,8.5,0.24
8.01,10.59,0.25
8.51,12.8,0.25
8.99,14.89,0.25
9.48,17.11,0.24
9.98,18.94,0.23
10.47,19.79,0.21
10.97,20.08,0.18
11.49,20.34,0.16
11.99,19.83,0.14
12.49,19.83,0.12
13.02,19.83,0.11
13.45,19.83,0.1
13.97,19.86,0.09
14.51,19.91,0.08
14.97,19.81,0.07
15.48,19.78,0.06
15.98,19.98,0.06
16.37,19.84,0.05
